INDEX,SES_TRX_DATEHOUR,NUMBER_OF_PRODUCT_SOLD
0,2020-09-01 01:00:00,1
1,2020-09-01 03:00:00,1
2,2020-09-01 05:00:00,8
3,2020-09-01 06:00:00,3
4,2020-09-01 07:00:00,8
5,2020-09-01 08:00:00,16
6,2020-09-01 09:00:00,5
7,2020-09-01 10:00:00,4
8,2020-09-01 11:00:00,8
9,2020-09-01 12:00:00,10
10,2020-09-01 13:00:00,6
11,2020-09-01 14:00:00,6
12,2020-09-01 15:00:00,2
13,2020-09-01 16:00:00,10
14,2020-09-01 17:00:00,3
15,2020-09-01 18:00:00,3
16,2020-09-01 19:00:00,3
17,2020-09-01 21:00:00,9
18,2020-09-01 22:00:00,3
19,2020-09-01 23:00:00,2
20,2020-09-02 00:00:00,2
21,2020-09-02 02:00:00,2
22,2020-09-02 05:00:00,1
23,2020-09-02 06:00:00,4
24,2020-09-02 07:00:00,6
25,2020-09-02 08:00:00,6
26,2020-09-02 09:00:00,4
27,2020-09-02 10:00:00,9
28,2020-09-02 11:00:00,8
29,2020-09-02 12:00:00,5
30,2020-09-02 13:00:00,13
31,2020-09-02 14:00:00,8
32,2020-09-02 15:00:00,4
33,2020-09-02 16:00:00,4
34,2020-09-02 18:00:00,1
35,2020-09-02 19:00:00,4
36,2020-09-02 20:00:00,2
37,2020-09-02 21:00:00,6
38,2020-09-02 22:00:00,3
39,2020-09-02 23:00:00,1
40,2020-09-03 04:00:00,3
41,2020-09-03 05:00:00,1
42,2020-09-03 06:00:00,8
43,2020-09-03 07:00:00,5
44,2020-09-03 08:00:00,13
45,2020-09-03 09:00:00,5
46,2020-09-03 10:00:00,1
47,2020-09-03 11:00:00,6
48,2020-09-03 12:00:00,7
49,2020-09-03 13:00:00,4
50,2020-09-03 14:00:00,8
51,2020-09-03 15:00:00,4
52,2020-09-03 16:00:00,7
53,2020-09-03 17:00:00,8
54,2020-09-03 18:00:00,4
55,2020-09-03 19:00:00,10
56,2020-09-03 20:00:00,10
57,2020-09-03 21:00:00,5
58,2020-09-03 23:00:00,2
59,2020-09-04 00:00:00,2
60,2020-09-04 01:00:00,3
61,2020-09-04 02:00:00,1
62,2020-09-04 03:00:00,3
63,2020-09-04 04:00:00,2
