INDEX,SES_TRX_DATEHOUR,NUMBER_OF_PRODUCT_SOLD
0,2020-09-01 07:00:00,3
1,2020-09-01 08:00:00,4
2,2020-09-01 09:00:00,6
3,2020-09-01 10:00:00,3
4,2020-09-01 11:00:00,13
5,2020-09-01 12:00:00,3
6,2020-09-01 13:00:00,4
7,2020-09-01 14:00:00,3
8,2020-09-01 15:00:00,4
9,2020-09-01 18:00:00,1
10,2020-09-01 20:00:00,2
11,2020-09-01 21:00:00,4
12,2020-09-02 00:00:00,1
13,2020-09-02 02:00:00,1
14,2020-09-02 03:00:00,1
15,2020-09-02 07:00:00,6
16,2020-09-02 08:00:00,1
17,2020-09-02 09:00:00,2
18,2020-09-02 10:00:00,8
19,2020-09-02 11:00:00,2
20,2020-09-02 12:00:00,5
21,2020-09-02 15:00:00,5
22,2020-09-02 16:00:00,10
23,2020-09-02 17:00:00,6
24,2020-09-02 18:00:00,5
25,2020-09-02 19:00:00,4
26,2020-09-02 20:00:00,2
27,2020-09-02 21:00:00,3
28,2020-09-03 00:00:00,1
29,2020-09-03 05:00:00,1
30,2020-09-03 06:00:00,1
31,2020-09-03 07:00:00,9
32,2020-09-03 08:00:00,5
33,2020-09-03 09:00:00,8
34,2020-09-03 10:00:00,6
35,2020-09-03 11:00:00,3
36,2020-09-03 12:00:00,6
37,2020-09-03 13:00:00,18
38,2020-09-03 14:00:00,12
39,2020-09-03 15:00:00,3
40,2020-09-03 16:00:00,2
41,2020-09-03 17:00:00,7
42,2020-09-03 18:00:00,4
43,2020-09-03 19:00:00,7
44,2020-09-03 20:00:00,2
45,2020-09-03 21:00:00,4
46,2020-09-03 23:00:00,1
47,2020-09-04 00:00:00,1
48,2020-09-04 01:00:00,2
49,2020-09-04 02:00:00,2
50,2020-09-04 03:00:00,1
51,2020-09-04 06:00:00,2
52,2020-09-04 07:00:00,9
53,2020-09-04 08:00:00,17
54,2020-09-04 09:00:00,6
55,2020-09-04 10:00:00,12
56,2020-09-04 11:00:00,6
57,2020-09-04 12:00:00,9
58,2020-09-04 13:00:00,5
59,2020-09-04 14:00:00,9
60,2020-09-04 15:00:00,10
61,2020-09-04 16:00:00,15
62,2020-09-04 17:00:00,4
63,2020-09-04 18:00:00,8
64,2020-09-04 19:00:00,15
65,2020-09-04 20:00:00,2
66,2020-09-04 21:00:00,3
67,2020-09-04 22:00:00,5
68,2020-09-04 23:00:00,3
69,2020-09-05 00:00:00,2
70,2020-09-05 06:00:00,3
71,2020-09-05 07:00:00,4
72,2020-09-05 08:00:00,14
73,2020-09-05 09:00:00,19
74,2020-09-05 10:00:00,5
75,2020-09-05 11:00:00,8
76,2020-09-05 12:00:00,1
77,2020-09-05 13:00:00,7
78,2020-09-05 14:00:00,14
79,2020-09-05 15:00:00,3
80,2020-09-05 16:00:00,3
81,2020-09-05 17:00:00,4
82,2020-09-05 18:00:00,5
83,2020-09-05 19:00:00,3
84,2020-09-05 20:00:00,3
85,2020-09-05 22:00:00,2
86,2020-09-06 00:00:00,2
87,2020-09-06 01:00:00,4
88,2020-09-06 02:00:00,5
89,2020-09-06 06:00:00,3
90,2020-09-06 07:00:00,3
