INDEX,SES_TRX_DATEHOUR,NUMBER_OF_PRODUCT_SOLD
0,2021-09-01 05:00:00,1
1,2021-09-01 06:00:00,2
2,2021-09-01 07:00:00,9
3,2021-09-01 08:00:00,13
4,2021-09-01 09:00:00,3
5,2021-09-01 10:00:00,4
6,2021-09-01 11:00:00,3
7,2021-09-01 12:00:00,3
8,2021-09-01 13:00:00,2
9,2021-09-01 14:00:00,3
10,2021-09-01 15:00:00,1
11,2021-09-01 16:00:00,3
12,2021-09-01 17:00:00,7
13,2021-09-01 18:00:00,2
14,2021-09-01 19:00:00,2
15,2021-09-01 20:00:00,2
16,2021-09-01 21:00:00,2
17,2021-09-01 22:00:00,2
18,2021-09-01 23:00:00,3
19,2021-09-02 05:00:00,1
20,2021-09-02 06:00:00,3
21,2021-09-02 07:00:00,5
22,2021-09-02 08:00:00,3
23,2021-09-02 09:00:00,4
24,2021-09-02 10:00:00,3
25,2021-09-02 11:00:00,2
26,2021-09-02 12:00:00,1
27,2021-09-02 13:00:00,7
28,2021-09-02 14:00:00,5
29,2021-09-02 15:00:00,1
30,2021-09-02 16:00:00,5
31,2021-09-02 17:00:00,5
32,2021-09-02 18:00:00,1
33,2021-09-02 19:00:00,1
34,2021-09-02 20:00:00,4
35,2021-09-02 21:00:00,1
36,2021-09-02 23:00:00,1
37,2021-09-03 00:00:00,2
38,2021-09-03 06:00:00,1
39,2021-09-03 07:00:00,9
40,2021-09-03 08:00:00,12
41,2021-09-03 09:00:00,9
42,2021-09-03 10:00:00,7
43,2021-09-03 11:00:00,3
44,2021-09-03 12:00:00,3
45,2021-09-03 13:00:00,3
46,2021-09-03 14:00:00,9
47,2021-09-03 15:00:00,2
48,2021-09-03 16:00:00,6
49,2021-09-03 17:00:00,7
50,2021-09-03 18:00:00,2
51,2021-09-03 19:00:00,5
52,2021-09-03 20:00:00,1
53,2021-09-03 21:00:00,6
54,2021-09-03 22:00:00,1
55,2021-09-03 23:00:00,1
56,2021-09-04 01:00:00,1
57,2021-09-04 02:00:00,1
58,2021-09-04 06:00:00,2
59,2021-09-04 08:00:00,5
60,2021-09-04 09:00:00,5
61,2021-09-04 10:00:00,6
62,2021-09-04 11:00:00,1
63,2021-09-04 12:00:00,3
64,2021-09-04 15:00:00,2
65,2021-09-04 16:00:00,2
66,2021-09-04 17:00:00,1
67,2021-09-04 18:00:00,2
68,2021-09-04 19:00:00,4
69,2021-09-04 20:00:00,3
70,2021-09-04 22:00:00,1
71,2021-09-05 07:00:00,2
72,2021-09-05 08:00:00,2
73,2021-09-05 10:00:00,8
74,2021-09-05 11:00:00,3
75,2021-09-05 12:00:00,9
76,2021-09-05 13:00:00,1
77,2021-09-05 14:00:00,2
78,2021-09-05 15:00:00,1
79,2021-09-05 16:00:00,5
80,2021-09-05 17:00:00,2
81,2021-09-05 18:00:00,5
82,2021-09-05 19:00:00,2
83,2021-09-05 20:00:00,4
84,2021-09-05 22:00:00,1
85,2021-09-06 05:00:00,2
86,2021-09-06 06:00:00,1
87,2021-09-06 07:00:00,1
88,2021-09-06 08:00:00,10
89,2021-09-06 09:00:00,7
90,2021-09-06 10:00:00,8
91,2021-09-06 11:00:00,4
92,2021-09-06 12:00:00,2
93,2021-09-06 13:00:00,3
94,2021-09-06 14:00:00,4
95,2021-09-06 15:00:00,3
96,2021-09-06 16:00:00,1
97,2021-09-06 17:00:00,1
98,2021-09-06 18:00:00,3
99,2021-09-06 19:00:00,1
100,2021-09-06 21:00:00,2
101,2021-09-07 06:00:00,7
102,2021-09-07 07:00:00,7
103,2021-09-07 08:00:00,8
104,2021-09-07 09:00:00,5
105,2021-09-07 10:00:00,5
106,2021-09-07 11:00:00,1
107,2021-09-07 12:00:00,10
108,2021-09-07 13:00:00,3
109,2021-09-07 15:00:00,2
110,2021-09-07 17:00:00,1
111,2021-09-07 18:00:00,7
112,2021-09-07 19:00:00,2
113,2021-09-07 21:00:00,1
114,2021-09-07 22:00:00,4
115,2021-09-07 23:00:00,1
116,2021-09-08 04:00:00,1
117,2021-09-08 06:00:00,1
118,2021-09-08 07:00:00,5
119,2021-09-08 08:00:00,4
120,2021-09-08 09:00:00,4
121,2021-09-08 10:00:00,5
122,2021-09-08 11:00:00,4
123,2021-09-08 12:00:00,2
124,2021-09-08 13:00:00,4
125,2021-09-08 14:00:00,1
126,2021-09-08 15:00:00,3
127,2021-09-08 16:00:00,5
128,2021-09-08 17:00:00,2
129,2021-09-08 19:00:00,4
130,2021-09-08 20:00:00,1
131,2021-09-08 22:00:00,1
132,2021-09-09 06:00:00,2
133,2021-09-09 07:00:00,3
134,2021-09-09 08:00:00,7
135,2021-09-09 09:00:00,5
136,2021-09-09 10:00:00,4
137,2021-09-09 11:00:00,3
138,2021-09-09 12:00:00,3
139,2021-09-09 13:00:00,1
140,2021-09-09 14:00:00,1
141,2021-09-09 15:00:00,3
142,2021-09-09 16:00:00,2
143,2021-09-09 17:00:00,3
144,2021-09-09 18:00:00,3
145,2021-09-09 19:00:00,2
146,2021-09-09 20:00:00,1
147,2021-09-09 21:00:00,2
148,2021-09-09 22:00:00,1
149,2021-09-10 00:00:00,1
150,2021-09-10 06:00:00,6
151,2021-09-10 07:00:00,5
152,2021-09-10 08:00:00,7
153,2021-09-10 09:00:00,8
154,2021-09-10 10:00:00,4
155,2021-09-10 11:00:00,4
156,2021-09-10 12:00:00,3
157,2021-09-10 13:00:00,5
158,2021-09-10 14:00:00,1
159,2021-09-10 15:00:00,7
160,2021-09-10 16:00:00,5
161,2021-09-10 17:00:00,3
162,2021-09-10 18:00:00,3
163,2021-09-10 19:00:00,2
164,2021-09-10 20:00:00,8
165,2021-09-10 21:00:00,2
166,2021-09-11 05:00:00,2
167,2021-09-11 07:00:00,8
168,2021-09-11 08:00:00,7
169,2021-09-11 09:00:00,10
170,2021-09-11 10:00:00,15
171,2021-09-11 11:00:00,5
172,2021-09-11 12:00:00,4
173,2021-09-11 13:00:00,10
174,2021-09-11 15:00:00,1
175,2021-09-11 16:00:00,3
176,2021-09-11 17:00:00,7
177,2021-09-11 18:00:00,1
178,2021-09-11 19:00:00,4
179,2021-09-11 21:00:00,2
180,2021-09-12 00:00:00,1
181,2021-09-12 07:00:00,5
182,2021-09-12 08:00:00,2
183,2021-09-12 09:00:00,7
184,2021-09-12 10:00:00,3
185,2021-09-12 11:00:00,7
186,2021-09-12 12:00:00,3
187,2021-09-12 13:00:00,6
188,2021-09-12 14:00:00,6
189,2021-09-12 16:00:00,4
190,2021-09-12 17:00:00,3
191,2021-09-12 18:00:00,2
192,2021-09-12 19:00:00,1
193,2021-09-12 20:00:00,2
194,2021-09-12 21:00:00,2
195,2021-09-13 06:00:00,2
196,2021-09-13 07:00:00,5
197,2021-09-13 08:00:00,3
198,2021-09-13 09:00:00,1
199,2021-09-13 10:00:00,1
200,2021-09-13 11:00:00,2
201,2021-09-13 12:00:00,5
202,2021-09-13 13:00:00,4
203,2021-09-13 14:00:00,7
204,2021-09-13 15:00:00,3
205,2021-09-13 16:00:00,4
206,2021-09-13 17:00:00,4
207,2021-09-13 18:00:00,4
208,2021-09-13 20:00:00,3
209,2021-09-13 21:00:00,1
210,2021-09-14 04:00:00,1
211,2021-09-14 05:00:00,1
212,2021-09-14 06:00:00,2
213,2021-09-14 07:00:00,1
214,2021-09-14 08:00:00,11
215,2021-09-14 09:00:00,7
216,2021-09-14 10:00:00,6
217,2021-09-14 11:00:00,3
218,2021-09-14 12:00:00,3
219,2021-09-14 13:00:00,11
220,2021-09-14 14:00:00,2
221,2021-09-14 15:00:00,6
222,2021-09-14 16:00:00,2
223,2021-09-14 17:00:00,5
224,2021-09-14 18:00:00,6
225,2021-09-14 19:00:00,5
226,2021-09-14 20:00:00,3
227,2021-09-14 22:00:00,2
228,2021-09-15 05:00:00,4
229,2021-09-15 06:00:00,7
230,2021-09-15 07:00:00,12
231,2021-09-15 08:00:00,3
232,2021-09-15 09:00:00,8
233,2021-09-15 10:00:00,9
234,2021-09-15 11:00:00,1
235,2021-09-15 12:00:00,11
236,2021-09-15 13:00:00,1
237,2021-09-15 14:00:00,4
238,2021-09-15 15:00:00,3
239,2021-09-15 17:00:00,1
240,2021-09-15 18:00:00,3
241,2021-09-15 20:00:00,1
242,2021-09-15 21:00:00,1
243,2021-09-15 22:00:00,1
244,2021-09-16 05:00:00,1
245,2021-09-16 06:00:00,5
246,2021-09-16 07:00:00,3
247,2021-09-16 08:00:00,9
248,2021-09-16 09:00:00,8
249,2021-09-16 10:00:00,5
250,2021-09-16 11:00:00,11
251,2021-09-16 12:00:00,11
252,2021-09-16 13:00:00,5
253,2021-09-16 14:00:00,4
254,2021-09-16 15:00:00,7
255,2021-09-16 16:00:00,1
256,2021-09-16 17:00:00,2
257,2021-09-16 18:00:00,5
258,2021-09-16 20:00:00,1
259,2021-09-16 22:00:00,4
260,2021-09-17 04:00:00,1
261,2021-09-17 06:00:00,3
262,2021-09-17 07:00:00,4
263,2021-09-17 08:00:00,1
264,2021-09-17 09:00:00,5
265,2021-09-17 10:00:00,2
266,2021-09-17 11:00:00,5
267,2021-09-17 12:00:00,2
268,2021-09-17 13:00:00,7
269,2021-09-17 14:00:00,7
270,2021-09-17 15:00:00,2
271,2021-09-17 16:00:00,2
272,2021-09-17 17:00:00,2
273,2021-09-17 19:00:00,4
274,2021-09-17 20:00:00,8
275,2021-09-17 21:00:00,1
276,2021-09-17 22:00:00,2
277,2021-09-18 06:00:00,1
278,2021-09-18 07:00:00,4
279,2021-09-18 08:00:00,3
280,2021-09-18 09:00:00,2
281,2021-09-18 10:00:00,5
282,2021-09-18 11:00:00,1
283,2021-09-18 12:00:00,7
284,2021-09-18 13:00:00,6
285,2021-09-18 14:00:00,1
286,2021-09-18 17:00:00,1
287,2021-09-18 18:00:00,11
288,2021-09-18 22:00:00,2
